lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
Utrecht,NOUN,metonymy,constant,lit_LOCATION_Utrecht,met_INSTITUTE_UtrechtUniversity,"{'lit_LOCATION_Utrecht': 97, 'met_INSTITUTE_UtrechtUniversity': 66}","{'lit_LOCATION_Utrecht': 97, 'met_INSTITUTE_UtrechtUniversity': 66}"
Otago,NOUN,metonymy,constant,lit_LOCATION_Otago,met_INSTITUTE_UniversityofOtago,"{'lit_LOCATION_Otago': 84, 'met_INSTITUTE_UniversityofOtago': 94}","{'lit_LOCATION_Otago': 84, 'met_INSTITUTE_UniversityofOtago': 94}"
Brest,NOUN,metonymy,constant,lit_LOCATION_Brest;France,met_TEAM_StadeBrestois29,"{'lit_LOCATION_Brest;France': 42, 'met_TEAM_StadeBrestois29': 20}","{'lit_LOCATION_Brest;France': 42, 'met_TEAM_StadeBrestois29': 20}"
Indiana,NOUN,metonymy,constant,lit_LOCATION_Indiana;Pennsylvania,met_INSTITUTE_IndianaUniversity,"{'lit_LOCATION_Indiana;Pennsylvania': 23, 'met_INSTITUTE_IndianaUniversity': 56}","{'lit_LOCATION_Indiana;Pennsylvania': 23, 'met_INSTITUTE_IndianaUniversity': 56}"
Whittier,NOUN,metonymy,constant,lit_LOCATION_Whittier;California,met_INSTITUTE_WhittierCollege,"{'lit_LOCATION_Whittier;California': 37, 'met_INSTITUTE_WhittierCollege': 23}","{'lit_LOCATION_Whittier;California': 37, 'met_INSTITUTE_WhittierCollege': 23}"
Richmond,NOUN,metonymy,constant,lit_LOCATION_Richmond;Virginia,met_INSTITUTE_UniversityofRichmond,"{'lit_LOCATION_Richmond;Virginia': 39, 'met_INSTITUTE_UniversityofRichmond': 42}","{'lit_LOCATION_Richmond;Virginia': 39, 'met_INSTITUTE_UniversityofRichmond': 42}"
Valencia,NOUN,metonymy,constant,lit_LOCATION_ValencianCommunity,met_INSTITUTE_UniversityofValencia,"{'lit_LOCATION_ValencianCommunity': 26, 'met_INSTITUTE_UniversityofValencia': 43}","{'lit_LOCATION_ValencianCommunity': 26, 'met_INSTITUTE_UniversityofValencia': 43}"
Granada,NOUN,metonymy,constant,lit_LOCATION_Granada,met_TEAM_GranadaCF,"{'lit_LOCATION_Granada': 74, 'met_TEAM_GranadaCF': 56}","{'lit_LOCATION_Granada': 74, 'met_TEAM_GranadaCF': 56}"
Alexandria,NOUN,metonymy,constant,lit_LOCATION_Alexandria,met_INSTITUTE_AlexandriaUniversity,"{'lit_LOCATION_Alexandria': 69, 'met_INSTITUTE_AlexandriaUniversity': 22}","{'lit_LOCATION_Alexandria': 69, 'met_INSTITUTE_AlexandriaUniversity': 22}"
Penn,NOUN,metonymy,constant,lit_LOCATION_Pennsylvania,met_INSTITUTE_UniversityofPennsylvania,"{'lit_LOCATION_Pennsylvania': 146, 'met_INSTITUTE_UniversityofPennsylvania': 160}","{'lit_LOCATION_Pennsylvania': 146, 'met_INSTITUTE_UniversityofPennsylvania': 160}"
